,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,dummy
110554,0,0.162346359,58,0,169.0,,8,0,0,0,0.0,0
146457,0,0.6709541399999999,50,0,0.212589323,9515.0,10,0,0,0,2.0,1
48880,0,0.9999999,51,0,644.0,,3,1,0,0,0.0,0
142159,0,0.100459969,78,0,0.3278096449999999,4706.0,6,0,2,0,1.0,1
75234,0,0.0964408729999999,33,0,0.3005398919999999,3333.0,13,0,0,1,0.0,1
68134,0,0.178545636,63,0,0.45567476,7083.0,9,0,2,0,0.0,1
66410,0,0.409441661,57,0,0.657612854,7841.0,14,0,1,0,2.0,1
16137,0,0.896965008,38,1,1.456160591,4333.0,8,0,2,0,2.0,1
141409,0,0.038287003,51,0,0.1434804289999999,8021.0,13,0,0,0,0.0,1
122687,0,0.051198862,73,0,1042.0,,5,0,1,0,0.0,0
149481,1,0.8732506999999998,44,0,0.0210007629999999,51140.0,7,2,1,0,3.0,1
46077,0,0.0079483569999999,39,0,0.685662867,3333.0,11,0,1,0,0.0,1
116637,0,0.09286149,50,0,0.1627616369999999,3200.0,5,0,0,0,0.0,1
17636,0,0.14631469,51,0,1066.0,1.0,12,0,2,0,2.0,1
98094,0,0.0615950359999999,68,0,889.0,,10,0,1,0,0.0,0
133496,0,0.0204769529999999,44,0,0.104223944,4000.0,7,0,0,0,0.0,1
8243,0,0.0329513349999999,58,0,0.012078301,2400.0,6,0,0,0,0.0,1
49824,0,0.182718967,42,0,0.114455681,8404.0,4,0,0,0,0.0,1
24638,0,0.0,58,0,0.150049564,19166.0,6,0,2,0,0.0,1
41176,0,0.0053998919999999,79,0,0.5070538279999999,7300.0,9,0,1,0,0.0,1
60536,0,0.033349925,49,0,0.2150401349999999,7100.0,5,0,1,0,0.0,1
29496,0,0.121185719,63,0,0.199955565,4500.0,13,0,1,0,0.0,1
67160,0,0.016420903,42,0,1.228238234,2400.0,15,0,2,0,0.0,1
92264,0,0.014790039,62,2,0.212610451,9166.0,18,0,1,0,0.0,1
67278,0,0.056557034,54,0,0.262365018,7500.0,8,0,1,0,1.0,1
83914,0,0.297469326,59,0,0.4740590029999999,4914.0,15,0,1,0,0.0,1
90069,0,0.6805682579999999,84,0,0.522113943,2667.0,6,0,3,0,0.0,1
84436,0,0.673227117,40,1,0.069490719,2100.0,7,1,0,1,4.0,1
68480,0,0.024726523,60,0,0.0051601809999999,4650.0,3,0,0,0,0.0,1
3000,0,0.930933445,52,0,0.1556500869999999,9167.0,14,0,0,0,0.0,1
38706,0,0.032475575,32,0,0.0429705739999999,6422.0,4,0,0,0,0.0,1
13645,0,0.9003235209999999,37,0,1.114221445,4000.0,14,0,1,0,1.0,1
7092,0,0.121924477,50,0,0.355952742,3300.0,7,0,1,0,0.0,1
984,0,0.951209758,36,0,0.061445262,2310.0,2,0,0,0,2.0,1
67274,0,0.935709664,52,0,0.6381558029999999,3144.0,8,0,1,0,2.0,1
104187,0,0.966288122,42,3,0.4569701749999999,7610.0,7,0,0,0,4.0,1
125670,1,0.1599803059999999,51,0,0.178535718,9000.0,8,0,0,1,0.0,1
44425,0,0.026212956,36,0,0.143434646,6678.0,5,0,0,0,2.0,1
40275,0,0.0,57,0,0.3674343869999999,5600.0,8,0,1,0,1.0,1
55658,0,0.0,44,0,159.0,,2,0,0,0,0.0,0
44725,0,0.035708891,67,0,0.46832473,2130.0,8,0,1,0,0.0,1
40751,0,0.0,64,0,0.218968993,20833.0,19,0,4,0,3.0,1
60497,0,0.9999999,56,0,0.028836251,970.0,1,0,0,0,0.0,1
43874,0,0.200185891,69,0,187.0,,4,0,0,0,0.0,0
145876,0,0.8683914509999998,40,0,2022.0,,4,0,1,0,0.0,0
149548,0,0.040486446,52,0,0.274585883,6700.0,14,0,2,0,2.0,1
142740,0,0.714852457,45,0,0.4220231139999999,7700.0,10,0,1,0,3.0,1
99837,0,0.455142879,51,0,1631.0,,10,0,1,0,2.0,0
94472,0,0.180750399,53,0,0.5792622129999999,4011.0,15,0,1,0,3.0,1
17926,0,0.0867817969999999,75,0,0.496705294,4400.0,12,0,1,0,0.0,1
69145,0,0.01121332,68,0,0.0016624039999999,7819.0,4,0,0,0,1.0,1
138054,0,0.042671951,58,0,0.5881294959999999,1667.0,8,0,1,0,0.0,1
133258,0,0.2966895689999999,23,0,0.0077734589999999,1800.0,2,0,0,0,0.0,1
99218,0,0.116054191,43,0,0.4831753879999999,7280.0,17,0,2,0,2.0,1
69138,1,0.120490271,53,0,0.609878734,3380.0,9,0,0,0,1.0,1
10370,0,0.0766716309999999,64,0,0.3029175639999999,5106.0,5,0,1,0,0.0,1
102122,0,0.173556913,61,0,0.856138295,3412.0,18,0,1,0,0.0,1
21997,0,0.613947234,70,0,0.603657143,8749.0,10,0,2,0,0.0,1
136812,0,0.10485168,51,0,0.0717750719999999,10100.0,7,0,1,0,2.0,1
65633,0,0.0813027209999999,65,0,0.036659479,5100.0,8,0,0,0,0.0,1
1175,0,0.100578252,69,0,2209.0,,11,0,2,0,2.0,0
137198,0,0.6097755609999999,48,0,1.062030598,7189.0,13,0,2,0,0.0,1
95402,0,0.0,52,0,2351.0,,5,0,3,0,0.0,0
28275,0,0.9999999,45,0,3534.0,0.0,6,0,2,0,2.0,1
24144,0,0.9999999,63,0,42.0,,1,0,0,0,0.0,0
79909,0,0.0,28,0,114.0,,3,0,0,0,0.0,0
40365,0,0.015879533,61,0,765.0,,13,0,0,0,0.0,0
54900,0,0.301858687,49,0,3575.0,,11,0,1,0,2.0,0
34005,1,0.6823176819999999,41,0,0.238568588,3520.0,4,1,0,0,1.0,1
50257,0,0.0218202439999999,62,0,991.0,,4,0,1,0,0.0,0
17994,1,0.771544784,51,1,0.344646714,3240.0,6,0,0,0,0.0,1
134601,0,0.077178487,49,0,0.3768830819999999,7500.0,11,0,2,0,0.0,1
7536,1,0.887953709,45,1,0.103920078,9208.0,8,1,0,0,2.0,1
104301,0,0.0014265339999999,44,1,1013.0,,5,0,1,0,0.0,0
41874,0,0.0737015109999999,34,0,0.33427762,6000.0,12,0,1,0,1.0,1
31525,0,0.2704619309999999,69,1,0.545151616,3000.0,11,0,0,0,0.0,1
59883,0,0.0,67,0,0.2250261879999999,10500.0,8,0,1,0,0.0,1
56427,0,0.114250391,53,0,1624.0,,6,0,1,0,0.0,0
26425,1,0.138045262,40,0,157.0,,12,0,0,0,0.0,0
59153,0,0.0,65,0,453.0,,5,0,0,0,1.0,0
46986,0,0.1718359389999999,40,0,0.8171514109999999,4675.0,6,0,2,0,0.0,1
78203,0,0.692869134,34,0,0.374628964,6400.0,10,0,1,0,1.0,1
144820,0,0.9999999,34,1,469.0,,1,0,0,0,0.0,0
149512,0,0.0553577859999999,65,0,0.028341246,6950.0,8,0,0,0,1.0,1
16275,0,1.003862758,48,0,0.132933533,2000.0,5,0,0,0,2.0,1
106352,0,0.822588706,36,0,0.0614359729999999,1350.0,3,0,0,0,2.0,1
128160,0,1.095808383,24,1,0.0083605959999999,2750.0,2,0,0,0,0.0,1
116480,0,0.162251967,65,0,0.239595051,8000.0,9,0,1,0,0.0,1
101576,0,0.239906815,54,0,0.54038282,4283.0,7,0,1,0,0.0,1
131304,0,0.0376843129999999,64,0,933.0,,7,0,1,0,0.0,0
57023,0,0.038705571,78,0,0.006284996,8750.0,6,0,0,0,0.0,1
127043,1,0.517790621,62,1,0.4816188499999999,9166.0,11,0,2,0,0.0,1
35279,0,0.9999999,65,0,104.0,,1,0,0,0,0.0,0
119575,0,5.148736038,35,0,2432.0,,3,0,1,0,0.0,0
77521,0,0.142279564,42,0,0.297565992,8750.0,15,0,2,0,3.0,1
44764,0,0.144215813,65,0,0.54688747,10023.0,11,0,3,0,1.0,1
126358,0,0.986980344,77,0,0.637536246,10000.0,8,0,2,0,0.0,1
114849,0,0.991192573,56,1,0.1793641269999999,5000.0,7,2,0,0,1.0,1
28611,0,0.024773394,62,0,0.306361049,13000.0,3,0,1,0,0.0,1
93025,0,0.0937453949999999,44,0,0.407718456,5000.0,3,0,1,0,0.0,1
64881,0,1.023326854,46,1,0.4920993229999999,3100.0,4,2,1,1,0.0,1
27675,0,0.951836409,45,0,0.560858552,7500.0,15,0,2,0,1.0,1
141193,0,0.007314613,60,0,470.0,,9,0,0,0,0.0,0
10227,0,0.1305985849999999,43,2,0.218086879,9000.0,8,0,2,2,2.0,1
117209,0,0.053552244,55,0,600.0,1.0,4,0,1,0,0.0,1
143129,0,0.01322344,64,0,41.0,,15,0,0,0,0.0,0
89322,0,0.0224701749999999,81,0,17.0,,2,0,0,0,0.0,0
44086,0,0.0979124549999999,66,0,977.0,0.0,11,0,2,0,0.0,1
9452,0,0.259527035,57,0,0.336941093,5635.0,13,0,1,0,0.0,1
104434,0,0.090969694,43,0,0.131527778,7199.0,5,0,0,0,3.0,1
92747,0,0.113350932,27,0,0.014996251,4000.0,4,0,0,0,0.0,1
77533,0,0.347990782,50,0,0.374576124,11500.0,9,0,2,0,1.0,1
33810,0,0.118587608,22,0,0.0053763439999999,929.0,2,0,0,0,0.0,1
69077,0,0.203379632,33,0,0.700815259,6500.0,13,0,2,0,1.0,1
124039,0,0.059679264,45,0,0.473859613,4800.0,13,0,2,0,0.0,1
130871,0,0.045056842,46,0,0.245570952,5700.0,6,0,1,0,0.0,1
115846,0,0.370082793,58,1,0.312085742,7090.0,20,0,1,0,0.0,1
8756,0,0.3711929299999999,53,0,0.188102079,11833.0,11,0,2,0,0.0,1
9213,0,0.297058737,45,0,0.413328411,5416.0,10,0,1,0,2.0,1
47548,0,0.0023338899999999,53,0,0.270008686,8058.0,7,0,1,0,1.0,1
65376,0,0.213507719,41,1,443.0,,16,0,0,0,0.0,0
7876,0,0.7327175599999999,66,3,0.5194587339999999,8941.0,11,1,3,0,0.0,1
106342,0,0.00471549,65,0,0.001745755,6300.0,9,0,0,0,0.0,1
85437,0,0.363342031,58,0,1.020408163,2400.0,10,0,1,0,0.0,1
12437,1,0.138416335,66,0,4562.0,,8,0,2,0,0.0,0
127992,0,0.0533892269999999,62,0,645.0,0.0,19,0,0,0,0.0,1
17491,0,0.716128387,29,0,0.3540527099999999,2010.0,3,0,0,0,1.0,1
136986,0,0.0,69,0,0.0,0.0,3,0,0,0,0.0,1
110611,0,0.9999999,50,0,0.0757862829999999,7916.0,2,0,1,0,0.0,1
109295,1,0.634920635,31,1,0.586592179,4116.0,14,0,3,0,0.0,1
47438,0,0.002749189,92,0,0.0016840329999999,9500.0,14,0,0,0,1.0,1
109865,0,0.5354489679999999,62,0,0.613343588,5200.0,11,0,1,2,1.0,1
73818,0,0.900807935,46,0,788.0,,2,0,0,0,0.0,0
131455,0,0.0050841749999999,78,0,25.0,,24,0,0,0,0.0,0
24129,0,0.176273123,41,0,0.212188191,9500.0,2,0,1,0,0.0,1
125225,0,0.0,48,0,0.0,6749.0,2,0,0,0,4.0,1
52266,0,0.5051431849999999,35,0,0.431132844,6134.0,6,0,1,0,2.0,1
33142,0,0.0342544509999999,55,0,0.202195956,16666.0,19,0,1,0,3.0,1
2942,0,0.122219445,33,0,0.009992862,1400.0,3,0,0,0,0.0,1
19013,0,0.001343708,41,0,0.3693539169999999,1748.0,3,0,1,0,2.0,1
10014,0,0.0482438249999999,60,0,2988.0,,11,0,2,0,0.0,0
37300,0,0.1614032159999999,33,0,0.4601923079999999,5199.0,10,0,1,0,3.0,1
9292,0,0.123078681,49,0,0.278462536,6165.0,10,0,2,0,2.0,1
123675,0,0.703105853,46,0,0.626481715,3964.0,8,0,1,0,4.0,1
2174,0,0.0580470979999999,47,0,0.066564358,10425.0,3,0,0,0,3.0,1
15953,1,1.018159806,58,0,0.186887137,5200.0,9,1,0,0,0.0,1
99082,0,0.11544015,66,0,0.678580355,4000.0,13,0,1,0,0.0,1
10191,0,0.0384990379999999,57,0,45.0,,2,0,0,0,0.0,0
103192,0,0.218855346,62,0,0.262969879,12316.0,9,0,2,0,0.0,1
5645,0,0.544887106,34,0,0.780870807,1400.0,8,0,0,0,0.0,1
3362,0,0.0733948499999999,79,0,0.00549945,10000.0,3,0,0,0,0.0,1
81122,0,0.315478075,63,0,0.3703124999999999,3839.0,5,0,1,0,0.0,1
45492,0,0.330447062,58,2,0.7655259819999999,4733.0,9,0,1,0,0.0,1
43828,0,0.9999999,30,0,0.031484258,2000.0,1,0,0,0,0.0,1
61703,0,3.2406328060000003,36,0,0.136254019,7463.0,7,0,0,0,0.0,1
27364,0,0.9999999,52,0,1062.0,,4,3,1,0,0.0,0
28526,0,0.064075482,24,0,0.006238004,2083.0,1,0,0,0,0.0,1
122922,0,0.035262736,64,0,0.679288848,4330.0,15,0,1,0,0.0,1
57064,0,0.983805228,37,0,0.385148647,7500.0,11,0,0,0,3.0,1
15673,0,0.9999999,25,0,0.0091264669999999,2300.0,2,0,0,0,0.0,1
89040,0,0.286078159,42,0,0.402999286,4200.0,10,0,1,0,1.0,1
19288,0,0.6476976429999999,60,0,0.2292508189999999,13120.0,8,0,2,0,0.0,1
13923,0,0.0162972429999999,69,0,1650.0,,7,0,1,0,0.0,0
27485,0,0.0970293549999999,75,0,0.0425192669999999,3762.0,4,0,0,0,0.0,1
138532,0,0.4557340520000001,50,0,0.373305671,7229.0,8,0,1,0,3.0,1
80245,0,0.0626994329999999,59,0,0.42048,6249.0,14,0,1,0,1.0,1
85504,0,0.9999999,38,0,373.0,,2,0,0,0,0.0,0
33645,0,0.0,25,0,0.002305919,1300.0,3,0,0,0,0.0,1
64034,0,0.694841588,57,0,0.49529093,7750.0,9,0,1,0,0.0,1
3930,0,0.0718724509999999,40,0,0.027314112,5271.0,4,0,0,1,0.0,1
37688,0,1.009998824,47,0,0.61212929,3000.0,6,0,1,0,0.0,1
37127,0,0.549014163,48,0,0.4634420699999999,5333.0,5,0,1,0,1.0,1
10692,0,0.0222858119999999,79,0,0.1467804289999999,7500.0,11,0,1,0,0.0,1
76470,0,0.092049854,64,0,0.326421249,8583.0,14,0,1,0,1.0,1
53302,0,0.24954101,66,0,0.574949731,15416.0,22,0,2,0,2.0,1
301,0,0.0,55,1,0.03988553,5590.0,8,0,0,0,0.0,1
142970,0,5.94e-05,46,0,0.4865026989999999,5000.0,6,0,1,0,1.0,1
23232,0,0.0,60,0,0.0,,1,0,0,0,1.0,0
96993,0,0.6675685209999999,38,0,0.4375614549999999,3050.0,8,0,2,0,1.0,1
45011,0,0.6823176819999999,63,4,0.4218348870000001,7400.0,10,1,3,0,0.0,1
82469,0,0.0,45,1,0.0233692339999999,4920.0,2,0,0,0,1.0,1
46805,0,0.057886538,59,0,34.0,,1,0,0,0,0.0,0
105077,0,0.0513603009999999,40,0,936.0,,4,0,1,0,2.0,0
59596,0,0.150133428,68,1,0.3185090389999999,6250.0,17,0,1,0,1.0,1
75321,0,0.0486087269999999,62,0,0.591764183,6750.0,14,0,2,0,0.0,1
5158,0,0.64148428,26,0,0.2530247239999999,1900.0,4,0,0,0,0.0,1
53870,0,0.100913893,66,0,0.115194861,30200.0,8,0,2,0,0.0,1
77692,0,0.3513052689999999,62,0,0.2837108139999999,13333.0,14,0,2,0,1.0,1
54670,0,1.015339166,40,8,0.4374186079999999,6910.0,15,2,3,1,3.0,1
81872,0,0.0749101779999999,52,0,2058.0,,9,0,1,0,2.0,0
144611,0,1.069318054,31,2,0.5128789209999999,5706.0,7,0,1,0,1.0,1
69900,0,0.39328907,66,0,0.476488065,9760.0,11,0,2,0,0.0,1
143613,0,0.0067135169999999,43,0,0.372570194,8333.0,9,0,1,0,2.0,1
120490,0,0.0621522099999999,63,0,0.144578313,3900.0,8,0,1,0,1.0,1
9601,0,0.3913397359999999,53,0,0.4671877839999999,5500.0,8,0,1,0,2.0,1
86981,0,0.099264809,71,0,1238.0,,4,0,1,0,0.0,0
69100,0,0.0137164379999999,84,1,0.0026663699999999,9000.0,5,0,0,0,0.0,1
135205,0,0.0,31,0,0.1626395599999999,6000.0,7,0,0,0,1.0,1
9488,0,0.0164628339999999,68,0,1372.0,,13,0,1,0,0.0,0
83124,1,1.191616766,62,3,0.1824619869999999,4800.0,6,3,0,1,0.0,1
41257,0,0.05114077,49,1,0.379862014,10000.0,11,0,3,0,4.0,1
45053,0,0.0117178349999999,57,0,0.0711424759999999,5242.0,8,0,0,0,0.0,1
21194,0,0.017262552,63,0,0.4608909609999999,7721.0,12,0,2,0,0.0,1
51976,0,0.04061291,62,0,0.1910844979999999,7514.0,11,0,1,0,0.0,1
13257,0,0.0833044879999999,74,0,0.212089396,6666.0,5,0,2,0,0.0,1
138335,0,0.0269225589999999,69,0,42.0,,2,0,0,0,0.0,0
48462,0,0.020981518,87,0,21.0,0.0,7,0,0,0,1.0,1
29826,0,0.028809363,88,0,0.0045319849999999,5736.0,2,0,0,0,0.0,1
108626,0,0.0258093229999999,78,0,0.065985337,4500.0,14,0,1,0,2.0,1
146739,0,0.055153801,42,0,0.68651201,4870.0,11,0,3,0,2.0,1
87444,0,0.551307419,59,0,0.231554573,9500.0,8,0,3,0,0.0,1
124272,0,0.256790462,69,0,3266.0,,13,0,2,0,0.0,0
129649,0,0.35613735,52,5,0.220902328,8333.0,15,0,2,1,0.0,1
107372,0,0.326289973,42,0,0.141203298,5700.0,7,0,0,0,3.0,1
89268,0,0.7401292179999999,44,0,0.1822044489999999,4000.0,5,0,0,0,3.0,1
8616,0,0.9999999,30,0,0.236157438,2997.0,3,0,0,0,1.0,1
138489,0,0.47358777,35,1,0.542197077,8483.0,9,0,4,0,0.0,1
76207,0,0.0905165339999999,67,0,1570.0,,11,0,1,0,0.0,0
96340,0,0.0629533449999999,48,0,0.010159652,6200.0,4,0,0,0,3.0,1
35585,0,0.5383120959999999,34,0,0.2595419849999999,2750.0,6,0,0,0,0.0,1
106501,0,0.597328053,35,0,0.2976557679999999,6483.0,5,0,1,0,1.0,1
126049,0,0.0027776229999999,90,0,0.0765104459999999,7083.0,9,0,0,0,0.0,1
5262,0,0.130930754,42,0,0.112808904,5300.0,8,0,0,0,1.0,1
98106,0,0.164341783,43,0,0.241270349,25000.0,5,0,2,0,1.0,1
948,0,0.001905482,37,0,2.694610778,500.0,11,0,2,0,2.0,1
139913,0,0.0366551099999999,45,0,3622.0,,16,0,2,0,0.0,0
52800,0,0.9999999,28,0,0.0,,0,1,0,0,0.0,0
99891,0,0.0534358299999999,40,0,0.5187084109999999,9166.0,10,0,4,0,2.0,1
143265,0,0.9999999,58,0,0.3936816520000001,3291.0,8,0,0,0,0.0,1
441,0,0.0,59,0,862.0,,2,0,1,0,0.0,0
92136,0,0.462283349,83,0,0.461149868,4156.0,5,0,1,0,0.0,1
99466,0,0.7051314779999999,43,2,543.0,,5,0,0,0,2.0,0
86114,0,0.0,70,0,0.0820754719999999,4239.0,8,0,0,0,0.0,1
120552,0,0.0,41,0,0.4522838169999999,12500.0,11,0,4,0,2.0,1
91561,0,0.416569102,73,0,0.332712479,10200.0,12,0,2,0,0.0,1
70548,0,0.9999999,26,0,0.080120937,5291.0,2,0,0,0,0.0,1
76826,0,0.0262976159999999,80,0,0.112754898,2500.0,14,0,1,0,0.0,1
96814,0,0.0568787529999999,62,0,0.206916427,3469.0,8,0,0,0,2.0,1
2282,0,0.001873829,44,0,0.02212687,55000.0,6,0,1,0,3.0,1
35899,0,0.2108978129999999,55,0,0.2546242289999999,6000.0,6,0,2,1,0.0,1
121927,0,0.0118837779999999,47,0,0.7422409259999998,1900.0,21,0,0,0,1.0,1
15831,0,0.0034012449999999,70,1,400.0,,6,0,0,0,0.0,0
50649,0,0.480939883,71,0,0.0156441299999999,7350.0,1,0,0,0,0.0,1
134979,0,0.004243519,69,1,0.2739543409999999,6000.0,11,0,2,0,0.0,1
52992,0,0.10319656,70,0,0.287428143,4000.0,5,0,1,0,0.0,1
32377,0,0.0342308689999999,81,0,43.0,,6,0,0,0,0.0,0
51781,0,0.9999999,30,0,0.071760086,2800.0,0,2,0,0,0.0,1
134829,1,0.743107124,55,0,0.427055703,4900.0,7,2,1,0,3.0,1
34078,0,0.016076683,43,0,0.355047749,2931.0,12,0,1,0,0.0,1
28287,0,0.050221898,74,0,0.038147977,6500.0,6,0,1,0,0.0,1
119697,0,0.429235301,58,0,0.3998584570000001,2825.0,5,0,1,0,1.0,1
103146,0,0.003149358,57,0,1.0,,1,0,0,0,0.0,0
65421,0,0.144788312,51,1,0.1485495699999999,9410.0,16,0,0,0,2.0,1
1,0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,1
47210,0,0.467135209,69,0,1.018296341,3333.0,7,0,2,0,2.0,1
12005,0,0.71710656,37,2,0.3010752689999999,5300.0,7,0,0,0,2.0,1
53528,0,0.95597672,50,2,3813.0,,8,2,1,0,0.0,0
118119,0,0.0960289639999999,32,0,0.061195104,8333.0,6,0,0,0,2.0,1
2439,0,0.001101664,58,0,0.396172522,3500.0,6,0,2,0,0.0,1
111550,0,0.0278013359999999,69,0,0.217190507,7794.0,20,0,1,0,0.0,1
35912,0,0.013899537,61,0,0.4022603599999999,7166.0,11,0,2,0,0.0,1
26416,0,0.0770991429999999,52,0,0.4921477799999999,8850.0,11,0,3,0,1.0,1
113137,0,0.324918635,36,0,0.095303394,8750.0,6,0,0,0,0.0,1
74752,0,0.101989801,48,0,811.0,,7,0,1,0,0.0,0
25656,0,0.014861556,53,0,0.7728380019999999,1641.0,11,0,1,0,2.0,1
145266,0,0.97770223,57,0,3228.0,,5,0,1,0,0.0,0
124250,0,0.140323978,52,0,0.008041869,7833.0,2,0,0,0,3.0,1
146674,0,0.016623961,51,1,0.8375916459999998,4500.0,9,0,2,0,0.0,1
21272,0,0.0,58,0,0.294682127,2500.0,11,0,1,0,2.0,1
74671,0,0.382553201,46,0,4158.0,,11,0,2,0,0.0,0
95602,1,0.196894561,40,1,72.0,,2,0,0,0,0.0,0
100028,0,0.0264816699999999,42,0,0.181981802,10000.0,9,0,2,0,2.0,1
25933,0,0.398705935,44,0,0.267455424,6000.0,8,0,1,0,1.0,1
67132,0,0.6896411240000001,69,0,0.2213740459999999,15850.0,7,0,1,0,0.0,1
115065,0,0.958083832,28,0,14.0,,1,0,0,0,0.0,0
96644,0,0.0250408579999999,71,0,0.2738767819999999,3716.0,11,0,1,0,0.0,1
78218,0,0.326169825,49,0,0.507285666,2950.0,12,1,1,0,0.0,1
50264,0,0.087258255,46,0,0.2721919789999999,9000.0,4,0,1,0,0.0,1
35139,0,0.4906254689999999,58,2,0.344017094,6083.0,8,0,1,2,0.0,1
54452,0,0.1189529119999999,61,0,220.0,,3,0,0,0,0.0,0
68113,0,0.010502648,67,0,484.0,,4,0,1,0,0.0,0
26389,0,0.056753033,78,0,0.451849384,3000.0,9,0,2,0,0.0,1
70202,1,0.9999999,55,0,0.0,1000.0,0,1,0,0,0.0,1
29929,0,0.6561675089999999,63,0,0.4999207729999999,6310.0,15,0,3,0,1.0,1
33453,0,0.0,46,0,3738.0,,6,0,1,0,0.0,0
104647,0,0.7776884959999999,61,0,0.8463016329999998,1040.0,9,0,0,0,0.0,1
65015,0,0.740931642,56,0,0.520512212,8433.0,10,0,1,0,2.0,1
115414,0,0.242161493,47,0,3524.0,,9,0,2,0,1.0,0
132824,0,0.0070248239999999,83,0,7.0,,2,0,0,0,0.0,0
51654,0,0.036210292,40,0,2054.0,,5,0,2,0,5.0,0
127734,0,0.94869937,70,0,0.2102134559999999,3700.0,6,0,0,0,0.0,1
108013,0,0.9999999,27,0,0.0,3816.0,1,0,0,0,0.0,1
61418,0,0.313373253,26,0,0.064670932,4375.0,2,0,0,0,1.0,1
124768,0,0.110149988,65,2,0.23835233,5000.0,10,0,1,0,1.0,1
103872,0,0.93037237,67,1,0.273192436,13484.0,10,0,2,1,0.0,1
48853,0,0.9999999,29,0,0.117952819,2500.0,2,0,0,0,0.0,1
95503,0,0.0,50,0,44.0,,6,0,0,0,0.0,0
66015,0,0.1857505399999999,63,0,0.185855609,4750.0,15,0,0,0,1.0,1
24314,0,0.0070627449999999,62,0,0.395962733,7083.0,19,0,3,0,1.0,1
139575,0,0.2801928679999999,44,1,0.1610455309999999,7115.0,12,0,1,0,0.0,1
146200,0,0.900885461,48,0,0.109188774,2600.0,8,0,0,0,0.0,1
148531,0,0.327822035,59,1,1.135929944,7650.0,21,0,4,1,5.0,1
77466,0,0.207031925,80,1,0.413015815,5500.0,16,0,1,0,0.0,1
132443,0,0.3990562859999999,55,1,0.3934871099999999,1473.0,8,0,0,0,0.0,1
148471,0,0.061016565,53,0,312.0,0.0,6,0,0,0,0.0,1
78768,0,0.0,50,0,1938.0,,8,0,1,0,0.0,0
95045,0,0.7485500969999999,54,0,0.247115828,4333.0,9,0,1,0,1.0,1
9703,0,0.263763124,41,0,0.2115961349999999,3000.0,8,0,0,0,4.0,1
127752,0,0.389507366,78,0,0.222751729,6504.0,5,0,1,0,1.0,1
73070,0,0.1515078659999999,59,0,0.281508978,11583.0,10,0,2,0,0.0,1
83535,0,0.0666150189999999,60,1,0.187909876,15400.0,13,0,2,0,0.0,1
79216,0,0.165119447,55,0,0.361190538,7693.0,15,0,1,0,2.0,1
112045,0,1.000433144,31,0,0.2066207509999999,4500.0,3,0,0,0,0.0,1
69458,0,0.149256178,41,0,0.1319868009999999,10000.0,5,0,1,0,3.0,1
4075,0,0.006238744,73,0,1177.0,0.0,10,0,1,0,1.0,1
132332,1,0.8879469979999999,42,0,0.8878684639999999,6750.0,19,0,2,0,2.0,1
106418,0,0.0061222409999999,86,0,5.0,,8,0,0,0,0.0,0
38143,0,0.474840816,57,0,0.376157558,7666.0,10,0,2,0,2.0,1
102266,0,0.9999999,39,4,0.959872017,7500.0,7,0,4,1,2.0,1
63368,0,0.034665383,58,0,0.5062417,3764.0,6,0,2,0,3.0,1
140425,0,0.0,85,0,0.0,,9,0,0,0,0.0,0
44522,0,0.429959052,46,1,1435.0,,3,0,1,0,0.0,0
70888,0,0.94366532,43,1,2692.0,,6,0,1,0,0.0,0
2925,0,0.9999999,28,0,585.0,,1,0,0,0,0.0,0
86740,0,0.501444428,60,0,0.4899787789999999,4240.0,11,0,0,0,0.0,1
17521,0,0.9999999,70,0,88.0,,1,0,0,0,0.0,0
2703,1,1.094433952,40,4,0.315929793,4500.0,7,0,0,0,2.0,1
138492,0,0.0,73,1,1385.0,,11,0,1,0,0.0,0
71511,0,0.288706037,45,0,0.189633823,16958.0,5,0,1,0,2.0,1
83769,1,0.6216905449999999,48,1,0.404724705,16000.0,12,0,2,0,0.0,1
44341,0,0.7611450359999998,65,0,0.7835541109999998,4000.0,6,0,1,0,1.0,1
142193,0,0.25684592,72,0,0.136929461,8916.0,10,0,0,1,0.0,1
87309,1,0.045179522,50,2,0.343305909,4010.0,16,0,2,0,0.0,1
50280,0,0.0193679689999999,75,0,0.0082096619999999,9500.0,8,0,0,0,0.0,1
17809,0,0.9999999,57,1,0.140757927,6464.0,2,0,0,0,1.0,1
77765,0,0.840416527,46,3,0.55421048,11316.0,10,0,2,0,2.0,1
933,0,0.610408703,41,1,0.0644171779999999,2933.0,7,0,0,0,2.0,1
6621,0,0.030107766,27,0,1849.0,,5,0,1,0,0.0,0
10778,0,0.4338151989999999,55,0,0.436531117,4450.0,16,0,0,0,0.0,1
72948,0,0.318036596,31,0,3128.0,,10,0,2,0,1.0,0
121393,0,0.139517166,67,0,0.0579613589999999,1500.0,9,0,0,0,0.0,1
26435,0,0.020927619,78,0,0.022188411,7886.0,8,0,0,0,0.0,1
51843,0,0.083910608,54,0,3166.0,,5,0,2,0,0.0,0
144755,0,0.002533164,65,0,1.0,,2,0,0,0,0.0,0
